161,Phoenix Forgotten,CLF,"$3,600,146","1,626","$1,816,499","1,626",4/21,6/15
162,An Inconvenient Sequel: Truth to Power,Par.,"$3,496,795",556,"$124,823",4,7/28,9/7
163,Til Death Do Us Part,NN,"$3,455,267",562,"$1,527,289",562,9/29,11/12
164,Raees,Zee,"$3,262,954",265,"$1,798,379",265,1/25,2/5
165,Close Encounters of the Third Kind (40th Anniversary),Sony,"$3,100,479",901,"$1,767,758",901,9/1,9/21
166,Colossal,Neon,"$3,029,287",327,"$120,226",4,4/7,7/13
167,Ingrid Goes West,Neon,"$3,024,308",647,"$135,301",3,8/11,10/26
168,Ballerina (2017) [Canada Only],EOne,"$2,844,490",237,"$181,091",77,2/24,-
169,The Oscar Nominated Short Films 2017,Shrts.,"$2,835,355",272,"$692,399",206,2/10,3/30
170,Kedi,Osci.,"$2,835,047",130,"$40,103",1,2/10,-
171,Wolf Warrior 2,HC,"$2,721,100",53,"$219,022",53,7/28,10/19
172,My Cousin Rachel,FoxS,"$2,716,368",531,"$969,941",523,6/9,8/3
173,Mayweather vs. McGregor,Fathom,"$2,620,183",532,"$2,620,183",532,8/26,8/26
174,A Question Of Faith,PFR,"$2,587,072",661,"$1,025,489",661,9/29,12/14
175,Is Genesis History?,Fathom,"$2,570,392",704,N/A,N/A,2/23,3/17
176,Newsies: The Broadway Musical,Fathom,"$2,545,060",780,"$1,333,538",780,2/18,2/23
177,In Our Hands: The Battle for Jerusalem,Fathom,"$2,534,370",733,N/A,N/A,5/23,6/6
178,Hazlo Como Hombre (Do It Like An Hombre),PNT,"$2,534,252",382,"$1,174,484",382,9/1,10/5
179,LBJ,Electric,"$2,470,979",659,"$1,110,565",659,11/3,12/21
180,Tulip Fever,Wein.,"$2,455,635",772,"$1,158,017",765,9/1,11/16
181,The Salesman,Cohen,"$2,402,067",115,"$71,078",3,1/27,4/16
182,T2: Trainspotting,TriS,"$2,402,004",331,"$170,575",5,3/17,5/25
183,Pokemon the Movie: I Choose You!,Fathom,"$2,401,722",789,N/A,N/A,11/5,11/16
184,Jeepers Creepers 3,Scre.,"$2,335,162",669,"$19,151",10,9/26,10/5
185,The Resurrection of Gavin Stone ,BH Tilt,"$2,303,792",890,"$1,206,771",890,1/20,2/9
186,The Killing of a Sacred Deer,A24,"$2,291,901",238,"$115,120",4,10/20,-
187,Collide,ORF,"$2,280,004","2,045","$1,512,824","2,045",2/24,3/9
188,The Lovers,A24,"$2,194,521",443,"$66,286",4,5/5,7/16
189,Un Padre No Tan Padre,PNT,"$2,156,047",312,"$978,894",312,1/27,3/9
190,Brad's Status,Annapurna,"$2,133,158",453,"$89,921",4,9/15,10/26
191,Good Time,A24,"$2,026,499",721,"$125,101",4,8/11,11/12
192,Badrinath Ki Dulhania,FIP,"$1,993,259",156,"$862,008",152,3/10,4/13
193,Everybody Loves Somebody,PNT,"$1,915,789",333,"$924,201",333,2/17,3/23
194,Along with the Gods: The Two Worlds,WGUSA,"$1,908,823",35,"$185,546",17,12/22,-
